"ValueName","RegPath","PropType","Value"
SSLVersionMin,HKLM:\SOFTWARE\Policies\Microsoft\Edge,String,"tls1.2"
ConsentPromptBehaviorUser,HKLM:\SOFTWARE\Microsoft\Windows\CurrentVersion\Policies\System,dword,"0"
AllowStrongNameBypass,HKLM:\SOFTWARE\Microsoft\.NETFramework,dword,"0"
AllowStrongNameBypass,HKLM:\SOFTWARE\Wow6432Node\Microsoft\.NETFramework,dword,"0"
DisableDeveloperTools,HKLM:\SOFTWARE\Policies\Mozilla\Firefox,dword,"1"
DisableAntiSpyware,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender,dword,"1"
DisableOnAccessProtection,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection,dword,"0"
DisableIOAVProtection,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Real-Time Protection,dword,"0"
92E97FA1-2EDF-4476-BDD6-9DD0B4DDDC7B,HKLM:\SOFTWARE\Policies\Microsoft\Windows Defender\Windows Defender Exploit Guard\ASR\Rules,String,"1"
DeveloperToolsAvailability,HKLM:\SOFTWARE\Policies\Microsoft\Edge,dword,"2"
DownloadRestrictions,HKLM:\SOFTWARE\Policies\Microsoft\Edge,dword,"1"
AuthSchemes,HKLM:\SOFTWARE\Policies\Microsoft\Edge,String,"ntlm,negotiate"
groove.exe,HKLM:\SOFTWARE\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_HTTP_USERNAME_PASSWORD_DISABLE,dword,"1"
groove.exe,HKLM:\SOFTWARE\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_SAFE_BINDTOOBJECT,dword,"1"
groove.exe,HKLM:\SOFTWARE\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_UNC_SAVEDFILECHECK,dword,"1"
groove.exe,HKLM:\SOFTWARE\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_VALIDATE_NAVIGATE_URL,dword,"1"
groove.exe,HKLM:\SOFTWARE\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_WINDOW_RESTRICTIONS,dword,"1"
groove.exe,HKLM:\SOFTWARE\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_ADDON_MANAGEMENT,dword,"1"
groove.exe,HKLM:\SOFTWARE\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_WEBOC_POPUPMANAGEMENT,dword,"1"
groove.exe,HKLM:\SOFTWARE\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_RESTRICT_FILEDOWNLOAD,dword,"1"
groove.exe,HKLM:\SOFTWARE\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_ZONE_ELEVATION,dword,"1"
groove.exe,HKLM:\SOFTWARE\Microsoft\Internet Explorer\Main\FeatureControl\FEATURE_RESTRICT_ACTIVEXINSTALL,dword,"1"
fMinimizeConnections,HKLM:\SOFTWARE\Policies\Microsoft\Windows\WcmSvc\GroupPolicy,dword,"1"
NoToastApplicationNotificationOnLockScreen,HKCU:\Software\Policies\Microsoft\Windows\CurrentVersion\PushNotifications,dword,"1"
EnableFirewall,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile,dword,"1"
EnableFirewall,HKLM:\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile,dword,"1"
DefaultInboundAction,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile,dword,"1"
DefaultInboundAction,HKLM:\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile,dword,"1"
DefaultOutboundAction,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile,dword,"0"
DefaultOutboundAction,HKLM:\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile,dword,"0"
LogFileSize,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging,dword,"16384"
LogFileSize,HKLM:\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile\Logging,dword,"16384"
LogDroppedPackets,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging,dword,"1"
LogDroppedPackets,HKLM:\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile\Logging,dword,"1"
LogSuccessfulConnections,HKLM:\SOFTWARE\Policies\Microsoft\WindowsFirewall\DomainProfile\Logging,dword,"1"
LogSuccessfulConnections,HKLM:\System\CurrentControlSet\Services\SharedAccess\Parameters\FirewallPolicy\DomainProfile\Logging,dword,"1"
